image_id,cell_id,x,y,width,height,area,mean,std,min,max
25,12,163,171,151,43,4643,95.37475769976308,25.48332670667799,0.0,145.0
26,1,28,4,141,41,4280,128.23481308411215,49.491208066682326,0.0,231.0
26,2,162,3,130,42,3971,134.85922941324603,41.50553239207195,0.0,214.0
26,3,29,37,141,41,4316,147.92562557924003,24.760582621647327,8.0,230.0
26,4,159,33,138,44,4088,137.345156555773,26.024168279935072,18.0,217.0
26,5,29,70,137,42,4522,131.07894736842104,29.84676631537535,12.0,194.0
26,6,159,64,142,48,4795,147.83190823774765,30.704893986318847,33.0,219.0
26,7,29,104,136,46,4660,132.43476394849785,26.24627162666162,6.0,205.0
26,8,155,101,146,49,5271,150.20508442420794,28.52833551888665,52.0,220.0
26,9,28,140,135,46,4602,133.6877444589309,24.54972288429489,6.0,220.0
26,10,155,139,144,49,5073,144.7851369998029,27.542372063535453,50.0,237.0
26,11,27,175,136,44,4188,118.50095510983763,27.71647882949278,1.0,190.0
26,12,155,177,140,44,4499,134.05823516336963,28.033823371222308,1.0,213.0
27,1,29,3,133,43,4294,151.97158826269214,33.1062935554272,0.0,215.0
27,2,154,3,137,43,3821,103.34519759225334,45.52794116748489,0.0,199.0
27,3,31,35,133,48,4659,143.24490233955785,18.74978180558778,6.0,201.0
27,4,157,28,136,48,4021,135.98930614275056,17.040354258536947,70.0,174.0
27,5,30,71,253,48,5647,117.93164512130335,21.01106328621563,4.0,178.0
27,6,158,56,137,57,4108,119.74513145082766,16.147522748176467,44.0,167.0
27,7,29,106,251,49,6725,110.09576208178439,22.041185947013602,1.0,177.0
27,8,160,104,135,48,2659,116.38661150808575,17.839581888999223,31.0,178.0
27,9,27,147,141,45,5055,93.37448071216618,22.90159617626566,7.0,184.0
27,10,160,141,136,50,4896,110.65114379084967,18.68033984516765,22.0,187.0
27,11,27,183,142,39,3886,75.58466289243438,27.468203888976042,0.0,191.0
27,12,161,177,135,42,3809,87.56392754003676,24.682316985296733,1.0,194.0
28,1,10,20,136,43,4385,115.46590649942988,27.080298489003315,0.0,183.0
28,2,139,8,155,51,5243,122.59889376311273,22.11371730735677,0.0,173.0
28,3,12,53,134,42,3931,125.47748664461969,13.7052851261372,6.0,178.0
28,4,140,44,156,46,4664,128.14493996569468,11.655485724172062,9.0,162.0
28,5,15,84,131,42,4015,122.96662515566625,12.524680767846066,20.0,166.0
28,6,139,77,156,47,5126,129.98888021849396,15.048007233117428,7.0,178.0
28,7,18,118,128,41,4006,120.57888167748378,14.453003472752773,5.0,175.0
28,8,139,113,155,45,5171,131.98839682846645,15.085685158287426,22.0,176.0
28,9,21,152,127,37,3681,121.83808747622929,11.84475211698431,8.0,173.0
28,10,140,148,154,42,4722,136.34921643371453,13.370610285993225,21.0,187.0
28,11,24,182,127,36,3311,113.59589247961341,16.92398932639525,4.0,174.0
28,12,143,180,151,40,4383,129.47958019621265,20.321384952445552,0.0,190.0
29,1,10,18,144,39,3794,145.764364786505,34.96815835310892,3.0,210.0
29,2,146,7,148,45,3965,109.59571248423707,37.79142642186587,0.0,179.0
29,3,13,45,142,43,3967,126.08570708343836,23.901153788159498,13.0,178.0
29,4,149,34,147,46,4046,127.81018289668809,21.259339609426522,13.0,177.0
29,5,15,73,144,47,4588,138.41979075850043,19.385196689672295,46.0,190.0
29,6,151,66,143,49,4891,114.67470864853813,27.738230253488556,8.0,191.0
29,7,17,108,144,45,4770,149.16498951781972,22.844525803172147,19.0,201.0
